"행정구역","2016년_총인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율","2025년_총인구수","2025년_세대수","2025년_세대당 인구","2025년_남자 인구수","2025년_여자 인구수","2025년_남여 비율"
"경기도 경기도 성남시 (4113000000)","974,580","394,087","          2.47","483,374","491,206","          0.98","967,510","396,403","          2.44","479,225","488,285","          0.98","954,347","398,412","          2.40","472,506","481,841","          0.98","942,724","400,460","          2.35","466,644","476,080","          0.98","940,064","407,912","          2.30","465,407","474,657","          0.98","930,948","409,320","          2.27","461,131","469,817","          0.98","922,518","408,195","          2.26","456,882","465,636","          0.98","919,747","409,602","          2.25","455,137","464,610","          0.98","913,009","410,242","          2.23","451,408","461,601","          0.98","905,794","409,252","          2.21","447,380","458,414","          0.98"
"경기도 경기도 성남시 수정구 (4113100000)","232,841","104,855","          2.22","118,343","114,498","          1.03","236,932","107,823","          2.20","120,180","116,752","          1.03","234,133","108,396","          2.16","118,563","115,570","          1.03","234,678","110,333","          2.13","118,631","116,047","          1.02","241,701","115,709","          2.09","122,204","119,497","          1.02","235,988","114,620","          2.06","119,517","116,471","          1.03","230,460","113,458","          2.03","116,886","113,574","          1.03","235,942","116,390","          2.03","119,496","116,446","          1.03","234,877","116,838","          2.01","118,695","116,182","          1.02","232,389","116,200","          2.00","117,449","114,940","          1.02"
"경기도 성남시 수정구 신흥1동(4113151000)","14,495","7,773","          1.86","7,491","7,004","          1.07","14,267","7,822","          1.82","7,361","6,906","          1.07","13,834","7,738","          1.79","7,164","6,670","          1.07","13,671","7,770","          1.76","7,093","6,578","          1.08","13,510","7,887","          1.71","7,091","6,419","          1.10","13,436","7,956","          1.69","7,096","6,340","          1.12","13,192","7,949","          1.66","6,948","6,244","          1.11","12,665","7,707","          1.64","6,704","5,961","          1.12","12,292","7,590","          1.62","6,559","5,733","          1.14","12,046","7,440","          1.62","6,439","5,607","          1.15"
"경기도 성남시 수정구 신흥2동(4113152000)","22,154","9,078","          2.44","11,209","10,945","          1.02","11,333","4,485","          2.53","5,730","5,603","          1.02","10,237","3,952","          2.59","5,122","5,115","          1.00","9,925","3,810","          2.60","4,913","5,012","          0.98","20,144","7,666","          2.63","9,874","10,270","          0.96","20,263","7,733","          2.62","9,885","10,378","          0.95","19,883","7,626","          2.61","9,659","10,224","          0.94","28,895","11,370","          2.54","14,072","14,823","          0.95","31,411","12,249","          2.56","15,225","16,186","          0.94","31,635","12,313","          2.57","15,368","16,267","          0.94"
"경기도 성남시 수정구 신흥3동(4113153000)","11,090","5,838","          1.90","5,740","5,350","          1.07","11,313","6,026","          1.88","5,876","5,437","          1.08","11,300","6,110","          1.85","5,871","5,429","          1.08","11,118","6,140","          1.81","5,782","5,336","          1.08","11,265","6,425","          1.75","5,874","5,391","          1.09","11,325","6,528","          1.73","5,986","5,339","          1.12","11,220","6,531","          1.72","5,978","5,242","          1.14","10,827","6,416","          1.69","5,794","5,033","          1.15","10,755","6,461","          1.66","5,762","4,993","          1.15","10,670","6,452","          1.65","5,735","4,935","          1.16"
"경기도 성남시 수정구 태평1동(4113154000)","17,616","8,999","          1.96","8,942","8,674","          1.03","17,348","9,049","          1.92","8,810","8,538","          1.03","16,595","8,816","          1.88","8,428","8,167","          1.03","15,897","8,594","          1.85","8,066","7,831","          1.03","15,550","8,736","          1.78","7,931","7,619","          1.04","15,395","8,896","          1.73","7,923","7,472","          1.06","15,067","8,815","          1.71","7,816","7,251","          1.08","14,376","8,516","          1.69","7,454","6,922","          1.08","13,906","8,352","          1.66","7,222","6,684","          1.08","13,522","8,221","          1.64","7,005","6,517","          1.07"
"경기도 성남시 수정구 태평2동(4113155000)","16,775","7,640","          2.20","8,502","8,273","          1.03","16,259","7,480","          2.17","8,227","8,032","          1.02","16,344","7,688","          2.13","8,220","8,124","          1.01","16,135","7,806","          2.07","8,095","8,040","          1.01","15,712","7,966","          1.97","7,890","7,822","          1.01","15,402","7,984","          1.93","7,759","7,643","          1.02","14,993","7,918","          1.89","7,536","7,457","          1.01","14,430","7,794","          1.85","7,269","7,161","          1.02","14,007","7,658","          1.83","7,077","6,930","          1.02","13,628","7,529","          1.81","6,872","6,756","          1.02"
"경기도 성남시 수정구 태평3동(4113156000)","14,995","6,840","          2.19","7,613","7,382","          1.03","14,727","6,894","          2.14","7,474","7,253","          1.03","14,156","6,779","          2.09","7,184","6,972","          1.03","13,822","6,813","          2.03","7,020","6,802","          1.03","13,556","6,893","          1.97","6,947","6,609","          1.05","13,336","6,909","          1.93","6,857","6,479","          1.06","13,022","6,880","          1.89","6,705","6,317","          1.06","12,442","6,679","          1.86","6,402","6,040","          1.06","11,980","6,519","          1.84","6,162","5,818","          1.06","11,585","6,314","          1.83","5,951","5,634","          1.06"
"경기도 성남시 수정구 태평4동(4113156100)","15,245","6,497","          2.35","7,749","7,496","          1.03","15,116","6,598","          2.29","7,643","7,473","          1.02","14,574","6,587","          2.21","7,361","7,213","          1.02","13,951","6,455","          2.16","7,032","6,919","          1.02","13,539","6,624","          2.04","6,827","6,712","          1.02","13,224","6,683","          1.98","6,698","6,526","          1.03","12,796","6,589","          1.94","6,521","6,275","          1.04","11,908","6,264","          1.90","6,134","5,774","          1.06","11,256","6,046","          1.86","5,808","5,448","          1.07","10,906","5,916","          1.84","5,616","5,290","          1.06"
"경기도 성남시 수정구 수진1동(4113157000)","13,976","7,297","          1.92","7,181","6,795","          1.06","13,606","7,279","          1.87","6,963","6,643","          1.05","13,103","7,179","          1.83","6,724","6,379","          1.05","12,801","7,248","          1.77","6,604","6,197","          1.07","12,595","7,348","          1.71","6,531","6,064","          1.08","12,388","7,353","          1.68","6,472","5,916","          1.09","11,999","7,207","          1.66","6,305","5,694","          1.11","11,564","6,975","          1.66","6,096","5,468","          1.11","11,117","6,787","          1.64","5,893","5,224","          1.13","10,775","6,682","          1.61","5,742","5,033","          1.14"
"경기도 성남시 수정구 수진2동(4113158000)","18,088","7,863","          2.30","9,147","8,941","          1.02","17,887","8,025","          2.23","9,039","8,848","          1.02","17,387","8,013","          2.17","8,744","8,643","          1.01","16,700","7,896","          2.11","8,388","8,312","          1.01","16,110","7,789","          2.07","8,099","8,011","          1.01","15,851","7,822","          2.03","8,018","7,833","          1.02","15,555","7,808","          1.99","7,890","7,665","          1.03","15,015","7,636","          1.97","7,617","7,398","          1.03","14,572","7,520","          1.94","7,365","7,207","          1.02","14,334","7,468","          1.92","7,215","7,119","          1.01"
"경기도 성남시 수정구 단대동(4113159000)","17,008","6,622","          2.57","8,443","8,565","          0.99","16,853","6,649","          2.53","8,368","8,485","          0.99","16,701","6,769","          2.47","8,237","8,464","          0.97","16,283","6,741","          2.42","8,016","8,267","          0.97","15,836","6,776","          2.34","7,831","8,005","          0.98","15,614","6,763","          2.31","7,672","7,942","          0.97","15,173","6,636","          2.29","7,432","7,741","          0.96","14,574","6,528","          2.23","7,168","7,406","          0.97","14,351","6,508","          2.21","7,050","7,301","          0.97","14,162","6,503","          2.18","6,962","7,200","          0.97"
"경기도 성남시 수정구 산성동(4113160000)","14,613","6,670","          2.19","7,491","7,122","          1.05","14,386","6,721","          2.14","7,417","6,969","          1.06","13,768","6,583","          2.09","7,139","6,629","          1.08","13,191","6,366","          2.07","6,782","6,409","          1.06","10,691","5,243","          2.04","5,506","5,185","          1.06","5,372","2,496","          2.15","2,724","2,648","          1.03","4,960","2,268","          2.19","2,514","2,446","          1.03","4,723","2,196","          2.15","2,389","2,334","          1.02","4,561","2,171","          2.10","2,293","2,268","          1.01","4,421","2,091","          2.11","2,212","2,209","          1.00"
"경기도 성남시 수정구 양지동(4113161000)","10,644","4,307","          2.47","5,315","5,329","          1.00","10,427","4,273","          2.44","5,179","5,248","          0.99","10,214","4,270","          2.39","5,063","5,151","          0.98","10,171","4,314","          2.36","5,022","5,149","          0.98","9,992","4,352","          2.30","4,932","5,060","          0.97","9,896","4,376","          2.26","4,903","4,993","          0.98","9,686","4,361","          2.22","4,796","4,890","          0.98","9,331","4,277","          2.18","4,641","4,690","          0.99","9,070","4,248","          2.14","4,475","4,595","          0.97","8,923","4,259","          2.10","4,380","4,543","          0.96"
